FECHA,RUTA,TURNO,TIPO RUTA,PUNTO,DESCRIPCION,HORARIO,HORARIO PROGRAMADO,HORARIO ETA PROMEDIO,DIFERENCIA,TAMAÑO MUESTRA,DESVIACION ESTANDAR
01/05/2026,LA HEDIONDA,Salida,N,1,METALSA,H2,06:15,06:16,-1,1,0
01/05/2026,LA HEDIONDA,Salida,N,1,METALSA,H3,18:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H1,16:30,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H2,07:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H3,19:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H1,16:50,,,,
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H2,07:35,07:23,12,1,0
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H3,19:35,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H1,04:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H2,16:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H3,19:30,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H4,20:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H1,04:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H2,16:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H3,19:45,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H4,20:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H1,04:32,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H2,16:32,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H3,20:02,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H4,20:32,,,,
01/05/2026,LA SAUCEDA,Entrada,N,4,CASETA DE PLAN DE AYALA,H1,04:50,,,,
01/05/2026,LA SAUCEDA,Entrada,N,4,CASETA DE PLAN DE AYALA,H2,16:50,,,,
01/05/2026,LA SAUCEDA,Entrada,N,4,CASETA DE PLAN DE AYALA,H3,20:20,,,,
01/05/2026,LA SAUCEDA,Entrada,N,4,CASETA DE PLAN DE AYALA,H4,20:42,,,,
01/05/2026,LA SAUCEDA,Entrada,N,5,METALSA,H1,05:50,,,,
01/05/2026,LA SAUCEDA,Entrada,N,5,METALSA,H2,17:50,,,,
01/05/2026,LA SAUCEDA,Entrada,N,5,METALSA,H3,21:20,,,,
01/05/2026,LA SAUCEDA,Entrada,N,5,METALSA,H4,21:50,,,,
01/05/2026,LA SAUCEDA,Salida,N,1,METALSA,H1,06:15,06:12,3,1,0
01/05/2026,LA SAUCEDA,Salida,N,1,METALSA,H2,15:30,,,,
01/05/2026,LA SAUCEDA,Salida,N,1,METALSA,H3,18:15,,,,
01/05/2026,LA SAUCEDA,Salida,N,2,CASETA DE PLAN DE AYALA,H1,07:15,,,,
01/05/2026,LA SAUCEDA,Salida,N,2,CASETA DE PLAN DE AYALA,H2,16:30,,,,
01/05/2026,LA SAUCEDA,Salida,N,2,CASETA DE PLAN DE AYALA,H3,19:15,,,,
01/05/2026,LA SAUCEDA,Salida,N,3,SAN ANTONIO DEL JARAL,H1,07:33,,,,
01/05/2026,LA SAUCEDA,Salida,N,3,SAN ANTONIO DEL JARAL,H2,16:48,,,,
01/05/2026,LA SAUCEDA,Salida,N,3,SAN ANTONIO DEL JARAL,H3,19:33,,,,
01/05/2026,LA SAUCEDA,Salida,N,4,HIPOLITO,H1,07:50,,,,
01/05/2026,LA SAUCEDA,Salida,N,4,HIPOLITO,H2,17:05,,,,
01/05/2026,LA SAUCEDA,Salida,N,4,HIPOLITO,H3,19:50,,,,
01/05/2026,LA SAUCEDA,Salida,N,5,LA SAUCEDA,H1,08:05,,,,
