sequential_id|rdes|shift|route_type|id|des|sch|time|mean|diff|n|std
0006|LA SAUCEDA|Entrada|N|1|LA SAUCEDA|H1|04:00|||0|
0006|LA SAUCEDA|Entrada|N|1|LA SAUCEDA|H2|16:00|16:02|-2|1|0
0006|LA SAUCEDA|Entrada|N|1|LA SAUCEDA|H3|19:30|||0|
0006|LA SAUCEDA|Entrada|N|1|LA SAUCEDA|H4|20:00|||0|
0006|LA SAUCEDA|Entrada|N|2|HIPOLITO|H1|04:15|||0|
0006|LA SAUCEDA|Entrada|N|2|HIPOLITO|H2|16:15|16:18|-3|1|0
0006|LA SAUCEDA|Entrada|N|2|HIPOLITO|H3|19:45|||0|
0006|LA SAUCEDA|Entrada|N|2|HIPOLITO|H4|20:15|||0|
0006|LA SAUCEDA|Entrada|N|3|SAN ANTONIO DEL JARAL|H1|04:32|||0|
0006|LA SAUCEDA|Entrada|N|3|SAN ANTONIO DEL JARAL|H2|16:32|16:40|-8|1|0
0006|LA SAUCEDA|Entrada|N|3|SAN ANTONIO DEL JARAL|H3|20:02|||0|
0006|LA SAUCEDA|Entrada|N|3|SAN ANTONIO DEL JARAL|H4|20:32|||0|
0006|LA SAUCEDA|Entrada|N|4|CASETA DE PLAN DE AYALA|H1|04:50|||0|
0006|LA SAUCEDA|Entrada|N|4|CASETA DE PLAN DE AYALA|H2|16:50|16:58|-8|1|0
0006|LA SAUCEDA|Entrada|N|4|CASETA DE PLAN DE AYALA|H3|20:20|||0|
0006|LA SAUCEDA|Entrada|N|4|CASETA DE PLAN DE AYALA|H4|20:42|||0|
0006|LA SAUCEDA|Entrada|N|5|METALSA|H1|05:50|05:45|5|1|0
0006|LA SAUCEDA|Entrada|N|5|METALSA|H2|17:50|17:40|10|1|0
0006|LA SAUCEDA|Entrada|N|5|METALSA|H3|21:20|||0|
0006|LA SAUCEDA|Entrada|N|5|METALSA|H4|21:50|||0|
0032|LA SAUCEDA|Salida|N|1|METALSA|H1|06:15|06:14|1|1|0
0032|LA SAUCEDA|Salida|N|1|METALSA|H2|15:30|||0|
0032|LA SAUCEDA|Salida|N|1|METALSA|H3|18:15|18:16|-1|1|0
0032|LA SAUCEDA|Salida|N|2|CASETA DE PLAN DE AYALA|H1|07:15|||0|
0032|LA SAUCEDA|Salida|N|2|CASETA DE PLAN DE AYALA|H2|16:30|||0|
0032|LA SAUCEDA|Salida|N|2|CASETA DE PLAN DE AYALA|H3|19:15|||0|
0032|LA SAUCEDA|Salida|N|3|SAN ANTONIO DEL JARAL|H1|07:33|||0|
0032|LA SAUCEDA|Salida|N|3|SAN ANTONIO DEL JARAL|H2|16:48|||0|
0032|LA SAUCEDA|Salida|N|3|SAN ANTONIO DEL JARAL|H3|19:33|||0|
0032|LA SAUCEDA|Salida|N|4|HIPOLITO|H1|07:50|||0|
0032|LA SAUCEDA|Salida|N|4|HIPOLITO|H2|17:05|||0|
0032|LA SAUCEDA|Salida|N|4|HIPOLITO|H3|19:50|||0|
0032|LA SAUCEDA|Salida|N|5|LA SAUCEDA|H1|08:05|||0|
0032|LA SAUCEDA|Salida|N|5|LA SAUCEDA|H2|17:20|||0|
0032|LA SAUCEDA|Salida|N|5|LA SAUCEDA|H3|20:05|||0|
